c	gamma	ACC	Sn	Sp	AUC	AP	MCC	TP	TN	FP	FN
2.0	6.103515625e-05	0.6957446808510638	0.7063829787234043	0.6851063829787234	0.747741059302852	0.7679250729027234	0.39157800414902433	166.0	161.0	74.0	69.0
2.0	0.0001220703125	0.7170212765957447	0.7319148936170212	0.7021276595744681	0.783739248528746	0.8095458329119276	0.434235239915149	172.0	165.0	70.0	63.0
2.0	0.000244140625	0.7702127659574468	0.7489361702127659	0.7914893617021277	0.8142870076957899	0.8431749297729499	0.5409154916999491	176.0	186.0	49.0	59.0
2.0	0.00048828125	0.7808510638297872	0.7617021276595745	0.8	0.8298143956541422	0.8592372512498938	0.5621145132033741	179.0	188.0	47.0	56.0
2.0	0.0009765625	0.7893617021276595	0.7659574468085106	0.8127659574468085	0.8384517881394296	0.8666251655862603	0.5793584501023474	180.0	191.0	44.0	55.0
2.0	0.001953125	0.7893617021276595	0.7659574468085106	0.8127659574468085	0.8446899049343595	0.870449215964126	0.5793584501023474	180.0	191.0	44.0	55.0
2.0	0.00390625	0.7914893617021277	0.7829787234042553	0.8	0.8530828429153463	0.8731011257608581	0.5830631931815127	184.0	188.0	47.0	51.0
2.0	0.0078125	0.7957446808510639	0.7957446808510639	0.7957446808510639	0.8735355364418289	0.8798951057165274	0.5914893617021276	187.0	187.0	48.0	48.0
2.0	0.015625	0.8127659574468085	0.8085106382978723	0.8170212765957446	0.8928927116342237	0.8943195022294251	0.6255545700642048	190.0	192.0	43.0	45.0
2.0	0.03125	0.8319148936170213	0.8382978723404255	0.825531914893617	0.9004798551380716	0.9034426834594937	0.6638838859069905	197.0	194.0	41.0	38.0
4.0	3.0517578125e-05	0.6957446808510638	0.7063829787234043	0.6851063829787234	0.7477048438207334	0.7678869742751996	0.39157800414902433	166.0	161.0	74.0	69.0
4.0	6.103515625e-05	0.7170212765957447	0.7319148936170212	0.7021276595744681	0.7837573562698052	0.8095845558543223	0.434235239915149	172.0	165.0	70.0	63.0
4.0	0.0001220703125	0.7680851063829788	0.7489361702127659	0.7872340425531915	0.8143051154368492	0.8432407799273092	0.5365638535123116	176.0	185.0	50.0	59.0
4.0	0.000244140625	0.7808510638297872	0.7617021276595745	0.8	0.829923042100498	0.8595320949703161	0.5621145132033741	179.0	188.0	47.0	56.0
4.0	0.00048828125	0.7872340425531915	0.7659574468085106	0.8085106382978723	0.8381801720235401	0.866770056364907	0.5749889084999459	180.0	190.0	45.0	55.0
4.0	0.0009765625	0.7872340425531915	0.7617021276595745	0.8127659574468085	0.8431145314622002	0.8702404519681751	0.5752185199951031	179.0	191.0	44.0	56.0
4.0	0.001953125	0.7936170212765957	0.7829787234042553	0.8042553191489362	0.8497238569488457	0.8725720302284914	0.5873670062235365	184.0	189.0	46.0	51.0
4.0	0.00390625	0.7872340425531915	0.7787234042553192	0.7957446808510639	0.8626527840651879	0.8751194440469059	0.5745513217482059	183.0	187.0	48.0	52.0
4.0	0.0078125	0.8021276595744681	0.8085106382978723	0.7957446808510639	0.8848890900860117	0.8871921439267552	0.6043045628127734	190.0	187.0	48.0	45.0
4.0	0.015625	0.825531914893617	0.8297872340425532	0.8212765957446808	0.8974920778632866	0.8990144888795858	0.6510874096586621	195.0	193.0	42.0	40.0
4.0	0.03125	0.825531914893617	0.8297872340425532	0.8212765957446808	0.902363060208239	0.9060602468327643	0.6510874096586621	195.0	193.0	42.0	40.0
8.0	3.0517578125e-05	0.7170212765957447	0.7319148936170212	0.7021276595744681	0.7837754640108647	0.8096391441724621	0.434235239915149	172.0	165.0	70.0	63.0
8.0	6.103515625e-05	0.7659574468085106	0.7489361702127659	0.7829787234042553	0.814440923494794	0.8434983206414326	0.5322233786384357	176.0	184.0	51.0	59.0
8.0	0.0001220703125	0.7808510638297872	0.7617021276595745	0.8	0.8299320959710276	0.859761208904524	0.5621145132033741	179.0	188.0	47.0	56.0
8.0	0.000244140625	0.7851063829787234	0.7617021276595745	0.8085106382978723	0.8380353100950656	0.8667785380325543	0.5708384728949599	179.0	190.0	45.0	56.0
8.0	0.00048828125	0.7829787234042553	0.7531914893617021	0.8127659574468085	0.8418832050701676	0.8697459288071503	0.5669644527572811	177.0	191.0	44.0	58.0
8.0	0.0009765625	0.7936170212765957	0.7872340425531915	0.8	0.8481846989588049	0.8731671640870263	0.5872818990715686	185.0	188.0	47.0	50.0
8.0	0.001953125	0.7936170212765957	0.7914893617021277	0.7957446808510639	0.8545586238116795	0.8727393404058859	0.58723935936639	186.0	187.0	48.0	49.0
8.0	0.00390625	0.7893617021276595	0.7872340425531915	0.7914893617021277	0.87558171118153	0.8816374592544418	0.578728644013254	185.0	186.0	49.0	50.0
8.0	0.0078125	0.8170212765957446	0.8170212765957446	0.8170212765957446	0.8928202806699864	0.8944478792994986	0.6340425531914894	192.0	192.0	43.0	43.0
8.0	0.015625	0.825531914893617	0.8340425531914893	0.8170212765957446	0.9006609325486645	0.904080338951283	0.6511581646479667	196.0	192.0	43.0	39.0
8.0	0.03125	0.8191489361702128	0.825531914893617	0.8127659574468085	0.9027976459936623	0.9073058582914608	0.6383498902951833	194.0	191.0	44.0	41.0
16.0	3.0517578125e-05	0.7659574468085106	0.7489361702127659	0.7829787234042553	0.8144499773653237	0.8435156286315659	0.5322233786384357	176.0	184.0	51.0	59.0
16.0	6.103515625e-05	0.7829787234042553	0.7659574468085106	0.8	0.8299683114531463	0.8599143887896394	0.5662856748712956	180.0	188.0	47.0	55.0
16.0	0.0001220703125	0.7851063829787234	0.7617021276595745	0.8085106382978723	0.8379900407424173	0.8670572103671454	0.5708384728949599	179.0	190.0	45.0	56.0
16.0	0.000244140625	0.7851063829787234	0.7574468085106383	0.8127659574468085	0.8422996831145315	0.8705881497890027	0.5710872584691573	178.0	191.0	44.0	57.0
16.0	0.00048828125	0.7957446808510639	0.7787234042553192	0.8127659574468085	0.8461023087369852	0.8725057784009282	0.5918323970459405	183.0	191.0	44.0	52.0
16.0	0.0009765625	0.7872340425531915	0.7872340425531915	0.7872340425531915	0.8506473517428701	0.8720169680596268	0.574468085106383	185.0	185.0	50.0	50.0
16.0	0.001953125	0.7829787234042553	0.7787234042553192	0.7872340425531915	0.8659665006790405	0.876525808653353	0.5659779443438043	183.0	185.0	50.0	52.0
16.0	0.00390625	0.8042553191489362	0.8170212765957446	0.7914893617021277	0.886337709370756	0.8893906465240189	0.608709072874859	192.0	186.0	49.0	43.0
16.0	0.0078125	0.8191489361702128	0.8212765957446808	0.8170212765957446	0.8980715255771843	0.8996831066468256	0.6383036514852066	193.0	192.0	43.0	42.0
16.0	0.015625	0.8212765957446808	0.8297872340425532	0.8127659574468085	0.9018017202354006	0.9048063578791194	0.6426462932146599	195.0	191.0	44.0	40.0
16.0	0.03125	0.8170212765957446	0.8212765957446808	0.8127659574468085	0.9031779085559077	0.9063920975423083	0.6340655165956905	193.0	191.0	44.0	42.0
32.0	3.0517578125e-05	0.7829787234042553	0.7659574468085106	0.8	0.8300045269352649	0.859916133525243	0.5662856748712956	180.0	188.0	47.0	55.0
32.0	6.103515625e-05	0.7851063829787234	0.7617021276595745	0.8085106382978723	0.8381167949298325	0.8670979877044855	0.5708384728949599	179.0	190.0	45.0	56.0
32.0	0.0001220703125	0.7893617021276595	0.7659574468085106	0.8127659574468085	0.842000905387053	0.8705392382554135	0.5793584501023474	180.0	191.0	44.0	55.0
32.0	0.000244140625	0.7957446808510639	0.7787234042553192	0.8127659574468085	0.8457944771389769	0.8726004922376633	0.5918323970459405	183.0	191.0	44.0	52.0
32.0	0.00048828125	0.7957446808510639	0.7914893617021277	0.8	0.8488184698958805	0.872724939288308	0.5915107839382616	186.0	188.0	47.0	49.0
32.0	0.0009765625	0.7893617021276595	0.7872340425531915	0.7914893617021277	0.8573291081937529	0.8737328707220463	0.578728644013254	185.0	186.0	49.0	50.0
32.0	0.001953125	0.7893617021276595	0.7914893617021277	0.7872340425531915	0.8772566772295155	0.8838823953466757	0.578728644013254	186.0	185.0	50.0	49.0
32.0	0.00390625	0.8191489361702128	0.8212765957446808	0.8170212765957446	0.8926029877772746	0.8950309121298345	0.6383036514852066	193.0	192.0	43.0	42.0
32.0	0.0078125	0.825531914893617	0.8297872340425532	0.8212765957446808	0.9003349932095971	0.9039711974719695	0.6510874096586621	195.0	193.0	42.0	40.0
32.0	0.015625	0.8170212765957446	0.825531914893617	0.8085106382978723	0.901946582163875	0.9053245144039126	0.6341344217813532	194.0	190.0	45.0	41.0
32.0	0.03125	0.8127659574468085	0.8382978723404255	0.7872340425531915	0.8996106835672251	0.9036594681875575	0.6263490551057789	197.0	185.0	50.0	38.0
64.0	3.0517578125e-05	0.7851063829787234	0.7617021276595745	0.8085106382978723	0.8379357175192395	0.8670241943662447	0.5708384728949599	179.0	190.0	45.0	56.0
64.0	6.103515625e-05	0.7936170212765957	0.774468085106383	0.8127659574468085	0.8417021276595745	0.870325001874286	0.5876651728944365	182.0	191.0	44.0	53.0
64.0	0.0001220703125	0.7957446808510639	0.7787234042553192	0.8127659574468085	0.8459031235853327	0.8731827154986891	0.5918323970459405	183.0	191.0	44.0	52.0
64.0	0.000244140625	0.7957446808510639	0.7829787234042553	0.8085106382978723	0.847451335445903	0.8726758640740689	0.5916822456615762	184.0	190.0	45.0	51.0
64.0	0.00048828125	0.7872340425531915	0.7872340425531915	0.7872340425531915	0.8534540516070621	0.873550434861732	0.574468085106383	185.0	185.0	50.0	50.0
64.0	0.0009765625	0.7787234042553192	0.7872340425531915	0.7702127659574468	0.8683567224988682	0.8801458780166059	0.5575275788815924	185.0	181.0	54.0	50.0
64.0	0.001953125	0.8106382978723404	0.8212765957446808	0.8	0.88441828881847	0.8887638299855299	0.6214172674538865	193.0	188.0	47.0	42.0
64.0	0.00390625	0.8276595744680851	0.8382978723404255	0.8170212765957446	0.8975101856043458	0.9008312761596771	0.6554675286842364	197.0	192.0	43.0	38.0
64.0	0.0078125	0.8212765957446808	0.8340425531914893	0.8085106382978723	0.9007424173834314	0.9035013961412852	0.6427627273014245	196.0	190.0	45.0	39.0
64.0	0.015625	0.823404255319149	0.8340425531914893	0.8127659574468085	0.9013671344499774	0.9034646627616902	0.6469549633766489	196.0	191.0	44.0	39.0
64.0	0.03125	0.8148936170212766	0.8382978723404255	0.7914893617021277	0.8944499773653237	0.8980727854518824	0.6304783133466721	197.0	186.0	49.0	38.0
128.0	3.0517578125e-05	0.7936170212765957	0.774468085106383	0.8127659574468085	0.8416478044363966	0.8701916361801121	0.5876651728944365	182.0	191.0	44.0	53.0
128.0	6.103515625e-05	0.7936170212765957	0.7787234042553192	0.8085106382978723	0.8456405613399729	0.8730357294834812	0.5874947363557899	183.0	190.0	45.0	52.0
128.0	0.0001220703125	0.7936170212765957	0.7787234042553192	0.8085106382978723	0.846283386147578	0.8716662118654399	0.5874947363557899	183.0	190.0	45.0	52.0
128.0	0.000244140625	0.7808510638297872	0.7702127659574468	0.7914893617021277	0.8509732910819375	0.873823725528307	0.5618293103007741	181.0	186.0	49.0	54.0
128.0	0.00048828125	0.7851063829787234	0.7829787234042553	0.7872340425531915	0.8609506564056135	0.878633166359209	0.5702179286601179	184.0	185.0	50.0	51.0
128.0	0.0009765625	0.7936170212765957	0.7957446808510639	0.7914893617021277	0.8774196468990494	0.8836835838648852	0.58723935936639	187.0	186.0	49.0	48.0
128.0	0.001953125	0.8106382978723404	0.8212765957446808	0.8	0.8930194658216387	0.8958035639940054	0.6214172674538865	193.0	188.0	47.0	42.0
128.0	0.00390625	0.8319148936170213	0.8382978723404255	0.825531914893617	0.8997102761430511	0.90360236521914	0.6638838859069905	197.0	194.0	41.0	38.0
128.0	0.0078125	0.823404255319149	0.8382978723404255	0.8085106382978723	0.9015482118605704	0.9043421810305858	0.6470956516382613	197.0	190.0	45.0	38.0
128.0	0.015625	0.8127659574468085	0.825531914893617	0.8	0.8971118153010412	0.9008222466280493	0.6257359000881417	194.0	188.0	47.0	41.0
128.0	0.03125	0.8063829787234043	0.8297872340425532	0.7829787234042553	0.8896785875961973	0.8946282159954715	0.6134383589318972	195.0	184.0	51.0	40.0
256.0	3.0517578125e-05	0.7936170212765957	0.7787234042553192	0.8085106382978723	0.8451607062019015	0.8727188000348267	0.5874947363557899	183.0	190.0	45.0	52.0
256.0	6.103515625e-05	0.7936170212765957	0.7787234042553192	0.8085106382978723	0.8456315074694433	0.8710454617626927	0.5874947363557899	183.0	190.0	45.0	52.0
256.0	0.0001220703125	0.7851063829787234	0.7787234042553192	0.7914893617021277	0.8496152105024897	0.8738247447966616	0.5702592353303637	183.0	186.0	49.0	52.0
256.0	0.000244140625	0.7872340425531915	0.7829787234042553	0.7914893617021277	0.8567406066093255	0.8776957247987853	0.5744888908752901	184.0	186.0	49.0	51.0
256.0	0.00048828125	0.7893617021276595	0.7872340425531915	0.7914893617021277	0.8713535536441829	0.882460403954567	0.578728644013254	185.0	186.0	49.0	50.0
256.0	0.0009765625	0.8021276595744681	0.8085106382978723	0.7957446808510639	0.8860208239022183	0.890780585095553	0.6043045628127734	190.0	187.0	48.0	45.0
256.0	0.001953125	0.825531914893617	0.8340425531914893	0.8170212765957446	0.8969488456315076	0.9015212491823938	0.6511581646479667	196.0	192.0	43.0	39.0
256.0	0.00390625	0.8276595744680851	0.8340425531914893	0.8212765957446808	0.9003531009506565	0.9040465534146582	0.6553725540363882	196.0	193.0	42.0	39.0
256.0	0.0078125	0.8212765957446808	0.8297872340425532	0.8127659574468085	0.8991942055228611	0.8993689740551751	0.6426462932146599	195.0	191.0	44.0	40.0
256.0	0.015625	0.8170212765957446	0.8425531914893617	0.7914893617021277	0.8937980986871886	0.8971602163992565	0.6348708109575583	198.0	186.0	49.0	37.0
256.0	0.03125	0.7957446808510639	0.8212765957446808	0.7702127659574468	0.8767406066093255	0.8782933923521524	0.5922620316986618	193.0	181.0	54.0	42.0
512.0	3.0517578125e-05	0.7936170212765957	0.7787234042553192	0.8085106382978723	0.8455952919873245	0.871498480922235	0.5874947363557899	183.0	190.0	45.0	52.0
512.0	6.103515625e-05	0.7914893617021277	0.7787234042553192	0.8042553191489362	0.8485830692621095	0.8733668646237648	0.5831688320549347	183.0	189.0	46.0	52.0
512.0	0.0001220703125	0.7851063829787234	0.7787234042553192	0.7914893617021277	0.8535717519239474	0.8755985257958114	0.5702592353303637	183.0	186.0	49.0	52.0
512.0	0.000244140625	0.7872340425531915	0.7872340425531915	0.7872340425531915	0.8649162516976008	0.8811395236207982	0.574468085106383	185.0	185.0	50.0	50.0
512.0	0.00048828125	0.7872340425531915	0.7914893617021277	0.7829787234042553	0.8792756903576278	0.8857198403366286	0.5744888908752901	186.0	184.0	51.0	49.0
512.0	0.0009765625	0.8127659574468085	0.8085106382978723	0.8170212765957446	0.8934178361249433	0.8973853875082505	0.6255545700642048	190.0	192.0	43.0	45.0
512.0	0.001953125	0.825531914893617	0.8297872340425532	0.8212765957446808	0.9000814848347669	0.9045056192876335	0.6510874096586621	195.0	193.0	42.0	40.0
512.0	0.00390625	0.8319148936170213	0.8382978723404255	0.825531914893617	0.9009144409234948	0.9037180886505792	0.6638838859069905	197.0	194.0	41.0	38.0
512.0	0.0078125	0.8106382978723404	0.8170212765957446	0.8042553191489362	0.8935626980534178	0.8961625584448404	0.6213272265539784	192.0	189.0	46.0	43.0
512.0	0.015625	0.8021276595744681	0.8297872340425532	0.774468085106383	0.88831145314622	0.8937526441012353	0.6051820201688085	195.0	182.0	53.0	40.0
512.0	0.03125	0.7978723404255319	0.825531914893617	0.7702127659574468	0.8674332277048438	0.866033745248047	0.5966583297438957	194.0	181.0	54.0	41.0
1024.0	3.0517578125e-05	0.7893617021276595	0.774468085106383	0.8042553191489362	0.8480126754187416	0.8726150525945283	0.5789803198868654	182.0	189.0	46.0	53.0
1024.0	6.103515625e-05	0.7851063829787234	0.7787234042553192	0.7914893617021277	0.8517609778180171	0.8752805109457935	0.5702592353303637	183.0	186.0	49.0	52.0
1024.0	0.0001220703125	0.7851063829787234	0.7787234042553192	0.7914893617021277	0.8593933906745134	0.8794668156924909	0.5702592353303637	183.0	186.0	49.0	52.0
1024.0	0.000244140625	0.7829787234042553	0.7829787234042553	0.7829787234042553	0.8734087822544139	0.884206449819588	0.5659574468085107	184.0	184.0	51.0	51.0
1024.0	0.00048828125	0.8	0.8042553191489362	0.7957446808510639	0.8878406518786781	0.8922252542241813	0.6000217304697474	189.0	187.0	48.0	46.0
1024.0	0.0009765625	0.8212765957446808	0.8297872340425532	0.8127659574468085	0.8988139429606157	0.9035011705020964	0.6426462932146599	195.0	191.0	44.0	40.0
1024.0	0.001953125	0.8319148936170213	0.8340425531914893	0.8297872340425532	0.9000814848347668	0.9043316559847263	0.6638357975446149	196.0	195.0	40.0	39.0
1024.0	0.00390625	0.8276595744680851	0.8340425531914893	0.8212765957446808	0.8964237211407876	0.8987094755274916	0.6553725540363882	196.0	193.0	42.0	39.0
1024.0	0.0078125	0.8063829787234043	0.8170212765957446	0.7957446808510639	0.889923042100498	0.8957918986936955	0.612904702146299	192.0	187.0	48.0	43.0
1024.0	0.015625	0.8	0.8127659574468085	0.7872340425531915	0.8793300135808058	0.8815880579236319	0.6001956592682176	191.0	185.0	50.0	44.0
